COUNTY,AVERAGE_INSPECTION_SCORE
Alameda,90.875
Butte,91
Contra Costa,64.78571429
Fresno,83.16666667
Imperial,83.2
Kern,91.78571429
Kings,85.5
Los Angeles,91.11111111
Madera,83.5
Marin,71
Merced,92.66666667
Monterey,94.66666667
Plumas,90
Riverside,93
Sacramento,88
San Bernardino,84.5
San Diego,93.2
San Francisco,71.18604651
San Joaquin,86.8
San Luis Obispo,87
San Mateo,96
Santa Barbara,89.8
Santa Clara,93
Santa Cruz,91
Solano,80
Stanislaus,87.5
Sutter,94.5
Tulare,92
Ventura,89.22222222
Yolo,83
Grand Total,82.72767857